group_id,experiment_id,question_id,stage_2_i,s1_mean_value,consensus_value,raters_fermi_mean,raters_number_mean,features_fermi_whitelist,features_number_whitelist,features_ff_mean,features_ff_std,features_ff_min,features_ff_25%,features_ff_50%,features_ff_75%,features_ff_max,features_ff_percentile_90
547,4,5,1,19.5,25,7.4,1.7,0.024390244,0.195121951,0.131672564,0.149342855,-0.179449731,0.049813984,0.118940475,0.183379313,0.999999985,0.257211134
547,4,4,2,7750,7200,7.3,3.5,0.212121212,0.181818182,0.114606148,0.128885646,-0.120460548,0.040946692,0.09839179,0.172019321,1.000000101,
547,4,6,3,8.75,3,9.3,0.8,0.255813953,0.093023256,0.157972769,0.123833851,-0.179449731,0.085346608,0.143478429,0.212016703,1.000000038,0.303014075
547,4,1,4,52.5,120,9.4,1.1,0.366666667,0.166666667,0.133044135,0.132203189,-0.079856833,0.05682995,0.105657319,0.172802132,1.000000031,0.260562892
548,3,8,1,33.75,50,2.272727273,7.090909091,0.088235294,0.176470588,0.092081329,0.113558275,-0.175920932,0.030467925,0.082726071,0.152160337,0.576280483,0.235883924
548,3,6,2,6.5,7,5.3,5.5,0.137931034,0.413793103,0.143795184,0.115576222,-0.186760412,0.081231271,0.135988606,0.196821471,1.000000038,0.272832582
548,3,3,4,370,400,7.8,3.2,0.178571429,0.25,0.110105333,0.106899601,-0.14953002,0.045089627,0.0933124,0.149967431,0.546998243,0.219560386
549,4,1,1,60,70,8.4,1.4,0.088235294,0.088235294,0.12460681,0.134417919,-0.079856833,0.048504851,0.097055493,0.160953805,1.000000031,0.246262485
549,4,7,2,411.25,250,8.9,1.6,0.170731707,0.097560976,0.115700802,0.131203947,-0.126874246,0.037540754,0.09668398,0.16020011,1.000000007,0.26854212
549,4,4,3,8750,7000,7.8,2.7,0.127659574,0.234042553,0.101372689,0.102007962,-0.16762701,0.032347656,0.090390874,0.1636764,0.7297557,
549,4,2,4,233.5,160,9.2,1.3,0.234042553,0.021276596,0.158368969,0.148493964,-0.083498657,0.074975756,0.129802743,0.203701844,0.999999983,0.292135557
553,4,2,2,217,203,8,1.5,0.25,0.111111111,0.137534081,0.139601856,-0.100579664,0.050517763,0.10652613,0.184866871,0.999999983,0.286281966
553,4,5,3,24.25,33,9.3,0.3,0.289473684,0.105263158,0.109274856,0.103881233,-0.164110017,0.049887911,0.105777893,0.161929782,0.753272066,0.233037688
553,4,4,4,33000,10000,5.6,4.4,0.185185185,0.037037037,0.093652231,0.10866218,-0.164243062,0.027058315,0.082150167,0.145190875,1.000000004,
557,3,3,1,157500212.5,480,1.7,8.3,0.041666667,0.208333333,0.111179185,0.102896875,-0.057965407,0.039496719,0.086075848,0.171307447,0.546998243,0.21172114
557,3,7,2,292.5,250,0.8,9.5,0.035714286,0.214285714,0.10651911,0.108307427,-0.091032453,0.04081182,0.08747782,0.155802709,0.486144143,0.258266855
557,3,6,3,34.75,15,4.5,5.7,0.24,0.16,0.150047164,0.118001588,-0.179449731,0.084172187,0.143486849,0.198444921,1.000000038,0.282017323
557,3,2,4,368.75,200,4.9,4.6,0.064516129,0.193548387,0.142579303,0.112713002,-0.078183427,0.070457936,0.118978981,0.198821132,0.655281855,0.283376519
558,3,8,1,42,60,0,9.7,0,0.090909091,0.099405303,0.123304095,-0.14073711,0.032282081,0.086138521,0.161675591,0.808645053,0.243251421
558,3,4,2,5275,7600,1.9,8.6,0.0625,0.25,0.092986215,0.097603018,-0.179449731,0.025361739,0.101788663,0.155323978,0.333283885,
558,3,6,3,15.5,15,1.3,9.5,0.181818182,0.727272727,0.14809205,0.117217312,-0.062358637,0.084966844,0.130590527,0.201933643,0.717488853,0.268029204
559,4,8,1,16.75,50,5.555555556,4.111111111,0.111111111,0.277777778,0.122332205,0.140099381,-0.189690421,0.035869938,0.113232475,0.199348861,0.714798693,0.296237032
559,4,6,2,28.5,7,8.333333333,3,0.344827586,0,0.157821678,0.150111761,-0.179449731,0.076565404,0.133287732,0.197198755,1.000000038,0.288769625
559,4,4,3,8753.5,8000,7.666666667,0.888888889,0.375,0.041666667,0.119504611,0.131068662,-0.179449731,0.043071178,0.108162338,0.189014898,1.000000004,
559,4,5,4,21.25,30,7.333333333,2.333333333,0.1875,0.5625,0.114888736,0.12663188,-0.147812162,0.044521079,0.109519128,0.165398656,0.999999985,0.230753619
565,3,3,1,320,320,0,9.888888889,0,0.230769231,0.101555217,0.083355006,-0.095429964,0.044094472,0.097219066,0.145548431,0.298088993,0.206789571
565,3,2,2,266.6666667,250,0,10,0,0.214285714,0.126813998,0.090405093,-0.095269226,0.069341607,0.102489256,0.178484801,0.415440551,0.247397262
565,3,6,3,35.75,9,1,9.888888889,0.333333333,0.444444444,0.149280173,0.121525015,-0.026017286,0.093196513,0.132729152,0.195965776,1.000000008,0.254575375
565,3,4,4,6300,6000,2.222222222,9,0.214285714,0.357142857,0.10112534,0.122701811,-0.179449731,0.024151756,0.084839417,0.146651514,1.000000004,
566,3,5,1,26.5,25,3.625,8.125,0.027027027,0.108108108,0.113516721,0.115684833,-0.179449731,0.047014735,0.113465259,0.17280832,0.999999985,0.234144181
566,3,7,3,204.5,260,8.375,3,0.181818182,0.151515152,0.107283876,0.126762947,-0.202345302,0.035433531,0.087303878,0.153138869,0.81865854,0.252789692
566,3,6,4,23,6,4.375,6.375,0.130434783,0.434782609,0.130433323,0.101374702,-0.179449731,0.070148587,0.126278228,0.195084272,0.561829581,0.248006051
571,4,4,1,29017.5,12000,8.5,2,0.285714286,0,0.110262911,0.100969083,-0.130803442,0.04044312,0.098873299,0.177755958,1.000000004,
571,4,6,2,20.25,20,9,1,0.285714286,0.119047619,0.158561631,0.134916197,-0.186760412,0.080879979,0.146198616,0.206287013,1.000000038,0.286992801
