group_id,experiment_id,question_id,stage_2_i,s1_mean_value,consensus_value,raters_fermi_mean,raters_number_mean,features_fermi_whitelist,features_number_whitelist,features_ff_mean,features_ff_std,features_ff_min,features_ff_25%,features_ff_50%,features_ff_75%,features_ff_max,features_ff_percentile_90
60,1,5,1,34,45,8.6,1.7,0.045454545,0.318181818,0.119830633,0.111607122,-0.179449731,0.054371956,0.116934903,0.179491141,0.626171857,0.254021622
60,1,7,2,147.5,200,8.7,1.5,0.133333333,0.066666667,0.111548816,0.120843369,-0.179449731,0.034547938,0.090692233,0.160519455,1.000000007,0.250254146
60,1,4,3,19500,10000,9.5,0.3,0.54,0,0.118284309,0.115497357,-0.179449731,0.043071178,0.108872913,0.188988885,1.000000004,
60,1,3,4,3750262.5,500,9.444444444,0.333333333,0.37037037,0.092592593,0.117000064,0.111971764,-0.112582614,0.042449156,0.099151695,0.15836043,0.811430943,0.232416513
69,1,8,1,20.5,7,0,9.3,0,0.466666667,0.082242101,0.08913093,-0.139270636,0.043306046,0.085811577,0.126164513,0.416390909,0.179440161
69,1,5,2,12,10,0.2,9.3,0.117647059,0.470588235,0.10342976,0.093986436,-0.162073676,0.042012374,0.110400688,0.156384333,0.438913385,0.211990314
69,1,2,3,140,210,0.2,8.2,0,0.133333333,0.128617187,0.09881777,-0.058113678,0.066179269,0.108930917,0.178414011,0.580062843,0.264685117
69,1,1,4,70.25,171,0,1.5,0,0.294117647,0.088226521,0.080381895,-0.059280426,0.048328953,0.07686659,0.124950073,0.999999947,0.169408535
70,1,1,1,47,160,9,0.4,0.23255814,0.023255814,0.11583008,0.113876337,-0.079856833,0.04674683,0.098024555,0.162169765,1.000000031,0.235579883
70,1,2,2,155,220,9.6,0.9,0.133333333,0.088888889,0.163103732,0.142580048,-0.114129212,0.067930695,0.142759976,0.221597145,0.999999983,0.315168575
70,1,8,3,44.75,56,8.8,2.3,0.333333333,0,0.135722988,0.15688468,-0.302397434,0.037404528,0.118922638,0.214844123,1.000000124,0.335255234
73,1,7,1,174.75,225,7.6,3,0.153846154,0.038461538,0.129457144,0.154198425,-0.179449731,0.041702224,0.105540984,0.166379816,0.999999976,0.325028293
73,1,5,2,93.75,20,3.3,3.7,0.111111111,0.074074074,0.120628354,0.112297261,-0.162073676,0.051295895,0.112571338,0.164088861,0.999999985,0.243156753
73,1,1,3,86.75,100,3.8,5.1,0.137931034,0.137931034,0.107157298,0.10272283,-0.089729627,0.048242003,0.090416563,0.146250759,1.000000031,0.219076905
73,1,4,4,8125,10000,2.7,6.4,0.5,0.0625,0.117120009,0.121863143,-0.112865482,0.038178006,0.102881012,0.185598916,1.000000004,
74,1,2,1,263.25,300,7.818181818,2,0.15,0.175,0.159526849,0.152855399,-0.100579664,0.069257671,0.134593312,0.211990314,1.000000035,0.310624445
74,1,4,2,24675,9000,7.7,2,0.228571429,0.057142857,0.109651732,0.112428804,-0.212743208,0.041702831,0.100220263,0.175005519,1.000000004,
74,1,3,4,507.5,400,8.5,0.8,0.238095238,0.166666667,0.109147458,0.101870371,-0.111209643,0.043554896,0.09120447,0.155964851,0.546998243,0.214818036
75,1,1,1,595.75,300,1.4,8.2,0.075471698,0.226415094,0.098430921,0.084820432,-0.091576565,0.049843544,0.083878355,0.133025005,0.999999932,0.199674745
75,1,6,2,10,10,2,8.8,0.208333333,0.166666667,0.132057656,0.103943511,-0.179449731,0.064522712,0.128103383,0.188323289,0.999999956,0.249017022
75,1,2,3,404,409,0.7,9.7,0,0.103448276,0.126313747,0.094259244,-0.117834639,0.062294695,0.10670619,0.173216483,0.600880596,0.254126511
75,1,8,4,55.75,100,1.7,7.6,0.157894737,0.210526316,0.104178452,0.118275185,-0.194561451,0.046595926,0.100107555,0.158063823,0.808645053,0.231301097
80,1,3,3,375000100,460,8.3,2.3,0.211538462,0.038461538,0.111264465,0.104297692,-0.17377626,0.044396511,0.091297408,0.154183349,0.546998243,0.230643339
80,1,8,4,57.75,70,6.8,3.1,0.260869565,0.065217391,0.123252521,0.142286699,-0.170961098,0.041658119,0.105784265,0.173444588,1.000000124,0.301838518
87,1,1,2,64.75,140,7.4,2.4,0.266666667,0.2,0.108830039,0.128906323,-0.057715259,0.043325581,0.082879951,0.141994548,1.000000031,0.195713872
87,1,4,3,4678.75,13000,0.6,9.4,0.047619048,0.047619048,0.107126838,0.100657099,-0.078183427,0.032061493,0.097069035,0.17194651,0.788536819,
87,1,3,4,400,425,3.3,7.7,0.055555556,0.444444444,0.109021651,0.095785713,-0.111925037,0.043912997,0.089901842,0.171418495,0.546998243,0.217451249
88,1,4,1,4725,15000,7.5,1.4,0.206896552,0.24137931,0.102718147,0.104488946,-0.179449731,0.034547938,0.091345102,0.171918123,0.788536819,
88,1,7,4,118.25,200,7.5,2.3,0.272727273,0.272727273,0.122194953,0.141567378,-0.179449731,0.034273032,0.09283648,0.166752127,0.81865854,0.325407654
89,1,5,1,18.25,30,8.1,1.9,0.121212121,0.454545455,0.127741432,0.13997569,-0.179449731,0.047351684,0.11472793,0.174547786,1.000000053,0.257628331
89,1,1,2,74,150,8,1.3,0.2,0.5,0.097544188,0.091706544,-0.070498158,0.042809804,0.084859425,0.13644067,0.588559311,0.201696916
89,1,6,4,133.5,6,8.6,0.8,0.378378378,0.162162162,0.150854697,0.145458672,-0.170611478,0.077266287,0.131862207,0.186574071,1.000000038,0.264750533
90,1,7,1,253.3333333,260,8,1.1,0.066666667,0,0.103393889,0.128613256,-0.179449731,0.024763797,0.07775131,0.15108752,0.81865854,0.246592004
90,1,1,2,43.33333333,70,1.5,7,0.0625,0.1875,0.097613456,0.086200811,-0.053171559,0.044724497,0.083292133,0.128959599,0.534496262,0.192494509
90,1,2,3,1048.75,250,6.9,1.5,0.2,0.1,0.149333256,0.129428093,-0.05404337,0.068714341,0.124212254,0.195363865,0.999999983,0.273504631
90,1,6,4,33.75,15,5.7,2.4,0.176470588,0.235294118,0.13087695,0.096204535,-0.179449731,0.069258195,0.130590527,0.180314313,0.614288017,0.256438292
97,1,1,1,104.75,150,4.5,5,0.111111111,0.148148148,0.105517679,0.117071957,-0.091786393,0.044066764,0.086773203,0.135559085,1.000000031,0.217114562
97,1,6,3,24.5,30,5,6.1,0.121212121,0.272727273,0.142673401,0.124331356,-0.179449731,0.076310923,0.136090896,0.198338641,1.000000038,0.279707367
97,1,5,4,24.25,40,8.5,1.4,0.153846154,0.038461538,0.114855797,0.128200339,-0.162073676,0.041111233,0.107217837,0.168431222,0.999999985,0.231715025
99,1,6,1,80.25,7,7.1,3.6,0.285714286,0.214285714,0.146928569,0.120228769,-0.179449731,0.078120662,0.138154739,0.194033548,1.000000038,0.281508358
99,1,8,2,46,47,5.1,3.8,0.170731707,0.073170732,0.119307804,0.139226054,-0.252767978,0.038533278,0.108902278,0.175820827,1.000000124,0.262927116
99,1,3,3,106250364.3,450,0,10,0,0.153846154,0.120247806,0.107263723,-0.10474514,0.05285433,0.107126206,0.175569503,0.546998243,0.231809481
99,1,1,4,117.75,256,8.6,0.4,0.366666667,0.066666667,0.115898672,0.136361382,-0.115819652,0.045193185,0.08747782,0.151124239,1.000000031,0.25009706
100,1,5,1,14.5,30,9,0.6,0.176470588,0.147058824,0.112142908,0.114365354,-0.179449731,0.040767189,0.10670619,0.168690548,1.000000053,0.234020141
100,1,3,2,588.75,450,8.7,1.5,0.230769231,0.192307692,0.11639797,0.121631174,-0.108481673,0.037033078,0.097210027,0.151277274,0.546998243,0.229837761
100,1,4,3,7225,7500,7.3,2.5,0.185185185,0.185185185,0.117422781,0.117422613,-0.179449731,0.044042448,0.106698442,0.1798719,1.000000004,
100,1,1,4,55.75,64,7.2,1.5,0.387096774,0.096774194,0.113226038,0.111417059,-0.079856833,0.0494467,0.087991445,0.151042039,1.000000031,0.224672374
101,1,4,1,10575,8000,8.3,1.9,0.229166667,0.0625,0.122786358,0.124826683,-0.179449731,0.040810537,0.109061785,0.195426471,1.000000004,
101,1,1,2,120.5,240,8.7,1,0.185185185,0.148148148,0.101024582,0.094044798,-0.108846216,0.037351242,0.087451216,0.142930128,1.000000031,0.215009311
101,1,5,3,28,30,8.3,1,0.178571429,0.357142857,0.120631873,0.139229637,-0.168386068,0.045787747,0.110288137,0.169587294,0.999999985,0.236268426
101,1,2,4,1037.5,700,1.9,6.8,0.107142857,0.142857143,0.140025352,0.123603031,-0.081967543,0.067988875,0.112826802,0.18682222,0.999999983,0.282741046
105,1,3,1,206.25,300,5.8,4.6,0.153846154,0.153846154,0.117614518,0.106275744,-0.079856833,0.045960179,0.094152109,0.167395686,0.546998243,0.22376893
105,1,1,2,39.5,40,0,8,0,0.35,0.089126229,0.072831581,-0.079856833,0.044066764,0.08285481,0.125588121,0.428319195,0.17633949
105,1,4,3,2200,5000,7.1,2.6,0.166666667,0.1,0.10524138,0.100355421,-0.131933794,0.037550609,0.090938827,0.162137381,0.999999993,
105,1,7,4,215,240,6.5,3.8,0.142857143,0.238095238,0.11880997,0.122182331,-0.179449731,0.040108552,0.098101735,0.167034264,0.655281855,0.283593292
106,1,8,1,33.5,45,0.8,9.4,0.041666667,0.083333333,0.081920905,0.106994917,-0.175920932,0.026060012,0.077672393,0.125762399,0.808645053,0.19689218
106,1,7,2,167.5,240,7.8,2.1,0.071428571,0.25,0.104269143,0.120721201,-0.078183427,0.034605544,0.080864051,0.144707788,0.81865854,0.276805404
106,1,2,3,215,200,9.3,0.8,0.322580645,0.193548387,0.161824098,0.155225974,-0.091358156,0.06956672,0.131370081,0.208173454,1.000000035,0.31865861
106,1,5,4,22,40,8.1,0.6,0.227272727,0.181818182,0.097042238,0.105856627,-0.179449731,0.039717263,0.092660079,0.148732258,0.99999997,0.209866522
107,1,2,1,187.5,200,2.5,8.5,0.2,0.4,0.160985406,0.145438352,-0.048379746,0.073397586,0.121050854,0.208585223,0.999999983,0.309244026
107,1,3,2,62500500,400,8.3,2,0.3,0.133333333,0.126760891,0.118877745,-0.079856833,0.050890378,0.102493576,0.171320985,0.546998243,0.272043097
107,1,5,3,21.25,30,6.7,3.2,0.043478261,0.391304348,0.123660228,0.120752426,-0.136166857,0.050690776,0.118206283,0.179845981,0.999999985,0.245866389
107,1,7,4,100.5,240,8.1,2.3,0.222222222,0.666666667,0.139339216,0.168621182,-0.179449731,0.039711778,0.106740472,0.162661124,0.81865854,0.38298275
114,1,2,1,364.75,160,8.4,1.3,0.217391304,0.130434783,0.144261473,0.129877335,-0.117590773,0.060334077,0.115584511,0.196523657,0.999999983,0.289033385
114,1,5,4,10.75,30,9.1,0.9,0.233333333,0.183333333,0.119670605,0.120171514,-0.179449731,0.045799635,0.11147419,0.176754661,1.000000053,0.248300013
115,1,1,1,29.5,48,1.3,6.5,0.1,0.35,0.120083524,0.127881408,-0.062725716,0.054411316,0.105364131,0.155889601,1.000000031,0.222230222
115,1,7,2,227.5,202,9.4,0.8,0.235294118,0.176470588,0.1443785,0.164074754,-0.14489142,0.046089673,0.109693656,0.191618513,1.000000007,0.330449085
115,1,5,3,14.75,30,7.6,1.8,0.227272727,0.090909091,0.105499805,0.11225792,-0.185360937,0.035366583,0.107777144,0.165950544,0.753272066,0.226659982
115,1,4,4,8378.75,17000,4.1,7.6,0.296296296,0.185185185,0.108356792,0.113450484,-0.179449731,0.036152996,0.099541203,0.174761447,1.000000004,
119,1,1,1,50.75,80,0.2,9.4,0,0.35,0.099004706,0.08973444,-0.091786393,0.048600943,0.088031459,0.129028974,1.000000031,0.18722992
119,1,4,2,6002.5,12000,8.9,0.6,0.333333333,0.25,0.113585773,0.11057962,-0.179449731,0.043071178,0.10670619,0.182761402,1.000000004,
